"","time","last_exposure","inf_history","titre_type","me_nat","lo_95_nat","hi_95_nat","me_trans","lo_95_trans","hi_95_trans","vaccinate"
"60",1,"AZD1222","Infection Naive","BA.5",20.5523241552882,20,30.2975071183102,0.0393015499999999,0,0.5991990935,"2nd_vax"
"61",1,"AZD1222","Infection Naive","BQ.1.1",20,20,157.06894742551,0,0,2.9733260825,"2nd_vax"
"62",1,"AZD1222","Infection Naive","XBB",47.9900477987834,20,409.326002638046,1.26273525,0,4.3551784125,"2nd_vax"
"63",1,"AZD1222","Infection Naive","XBB.1.5",32.0030423373642,20,271.55179083613,0.67820906,0,3.7631554725,"2nd_vax"
"64",1,"AZD1222","Previously infected","Wildtype",537.804995165631,372.012811220418,780.743254350193,4.74901125,4.2172804,5.28677629425,"2nd_vax"
"65",1,"AZD1222","Previously infected","Alpha",262.869162050649,181.553383574732,379.032013450284,3.716273,3.1823219125,4.2442478,"2nd_vax"
"66",1,"AZD1222","Previously infected","Delta",160.565568388077,111.812956710525,230.850928313498,3.00509065,2.48301547,3.52888962875,"2nd_vax"
"67",1,"AZD1222","Previously infected","BA.1",90.6103435908181,62.5205017915216,131.489791983881,2.17967575,1.6443293575,2.71687889725,"2nd_vax"
"68",1,"AZD1222","Previously infected","BA.2",153.794046894381,103.895288752469,221.206274755904,2.942927755,2.37705833,3.46732040465,"2nd_vax"
"69",1,"AZD1222","Previously infected","BA.5",79.95388296633,52.3270211619072,123.059688273005,1.9991681,1.3875561325,2.621286338,"2nd_vax"
"70",1,"AZD1222","Previously infected","BQ.1.1",73.8126164208294,20,607.522172270339,1.88386743,0,4.9248651575,"2nd_vax"
"71",1,"AZD1222","Previously infected","XBB",188.744676628402,22.3960863134153,1606.71121854481,3.23836405,0.16324664525,6.32796684,"2nd_vax"
"72",1,"AZD1222","Previously infected","XBB.1.5",123.48021243812,20,1081.20796328545,2.626207965,0,5.7565002325,"2nd_vax"
"73",1,"BNT162b2","Infection Naive","Wildtype",158.550854756555,127.143377199494,197.386992989253,2.98687375,2.66838441,3.30295502,"2nd_vax"
"74",1,"BNT162b2","Infection Naive","Alpha",77.5409924331295,61.5177544573304,97.1217538908819,1.9549592,1.6210028425,2.279794475,"2nd_vax"
"75",1,"BNT162b2","Infection Naive","Delta",47.2749194492789,37.6640995844086,59.2436274031847,1.241075,0.91319004,1.5666599775,"2nd_vax"
"76",1,"BNT162b2","Infection Naive","BA.1",26.7646252013047,20.8664175467966,34.2738119969558,0.42032745,0.0611829324999998,0.77710666,"2nd_vax"
"77",1,"BNT162b2","Infection Naive","BA.2",44.9665531369664,34.605242089354,58.0531818597651,1.1688523,0.7909905975,1.5373751425,"2nd_vax"
"78",1,"BNT162b2","Infection Naive","BA.5",23.6397741116321,20,32.8291699467979,0.24121625,0,0.71497827325,"2nd_vax"
"79",1,"BNT162b2","Infection Naive","BQ.1.1",21.4405126271047,20,184.240080948566,0.1003394,0,3.203515045,"2nd_vax"
"80",1,"BNT162b2","Infection Naive","XBB",55.6923801094056,20,480.802934096636,1.47747995,0,4.587373795,"2nd_vax"
"81",1,"BNT162b2","Infection Naive","XBB.1.5",36.8126561881609,20,311.446366250145,0.88020185,0,3.960911835,"2nd_vax"
"82",1,"BNT162b2","Previously infected","Wildtype",367.204007843043,275.109994535504,485.894907660459,4.1985099,3.7819366475,4.6025724075,"2nd_vax"
"83",1,"BNT162b2","Previously infected","Alpha",178.677856806426,136.075570075971,237.083655742124,3.15928895,2.766336175,3.5673243035,"2nd_vax"
"84",1,"BNT162b2","Previously infected","Delta",109.251058309869,82.1916083927629,145.605964078511,2.44957535,2.038991105,2.863997545,"2nd_vax"
"85",1,"BNT162b2","Previously infected","BA.1",61.9430018562606,46.4052477616615,81.4851402590043,1.6309413,1.2142879625,2.0265369915,"2nd_vax"
"86",1,"BNT162b2","Previously infected","BA.2",104.359269823255,76.280392788545,138.790336467102,2.38348685,1.9313122725,2.794835216,"2nd_vax"
"87",1,"BNT162b2","Previously infected","BA.5",54.6206955210516,37.6474790524778,79.0931933244876,1.449447685,0.9125532625,1.98355354325,"2nd_vax"
